date,ticker,type,quantity,price,amount,fees
2020-09-08,NVDA,buy,30,49.80,,0
2021-03-15,AAPL,buy,20,121.50,,0
2021-06-01,MSFT,buy,15,247.80,,0
2021-06-24,NVDA,dividend,0,0,1.20,0
2021-08-02,AAPL,buy,10,145.20,,0
2021-08-12,AAPL,dividend,0,0,4.40,0
2021-08-19,MSFT,dividend,0,0,8.37,0
2021-11-09,TSLA,buy,12,341.20,,0
2022-02-10,AAPL,dividend,0,0,6.60,0
2022-03-10,MSFT,dividend,0,0,9.30,0
2022-04-25,TSLA,buy,6,299.10,,0
2022-06-23,NVDA,dividend,0,0,1.20,0
2022-07-19,KO,buy,120,62.10,,0
2022-08-11,AAPL,dividend,0,0,6.90,0
2022-09-14,MSFT,buy,8,252.40,,0
2022-10-01,KO,dividend,0,0,52.80,0
2022-12-08,MSFT,dividend,0,0,15.87,0
2023-02-16,AAPL,dividend,0,0,6.90,0
2023-04-01,KO,dividend,0,0,55.20,0
2023-05-19,AAPL,sell,12,175.30,,0
2023-06-08,MSFT,dividend,0,0,15.87,0
2023-06-28,NVDA,dividend,0,0,0.80,0
2023-08-15,TSLA,sell,18,232.40,,0
2023-08-17,AAPL,dividend,0,0,4.32,0
2023-10-02,KO,dividend,0,0,55.20,0
2023-11-27,NVDA,sell,10,478.20,,0
2024-01-08,AAPL,buy,5,181.10,,0
2024-02-15,AAPL,dividend,0,0,4.80,0
2024-03-14,MSFT,dividend,0,0,10.05,0
2024-03-21,MSFT,sell,10,428.70,,0
2024-04-01,KO,dividend,0,0,57.60,0
2024-06-03,KO,buy,40,55.90,,0
2024-06-27,NVDA,dividend,0,0,0.40,0
2024-10-01,KO,dividend,0,0,76.80,0
2025-02-13,AAPL,dividend,0,0,5.06,0
2025-03-13,MSFT,dividend,0,0,11.18,0
2025-04-01,KO,dividend,0,0,78.40,0
