date,ticker,type,amount
2021-08-12,AAPL,dividend,4.40
2022-02-10,AAPL,dividend,6.60
2022-08-11,AAPL,dividend,6.90
2023-02-16,AAPL,dividend,6.90
2023-08-17,AAPL,dividend,4.32
2024-02-15,AAPL,dividend,4.80
2025-02-13,AAPL,dividend,5.06
2021-08-19,MSFT,dividend,8.37
2022-03-10,MSFT,dividend,9.30
2022-12-08,MSFT,dividend,15.87
2023-06-08,MSFT,dividend,15.87
2024-03-14,MSFT,dividend,10.05
2025-03-13,MSFT,dividend,11.18
2022-10-01,KO,dividend,52.80
2023-04-01,KO,dividend,55.20
2023-10-02,KO,dividend,55.20
2024-04-01,KO,dividend,57.60
2024-10-01,KO,dividend,76.80
2025-04-01,KO,dividend,78.40
2021-06-24,NVDA,dividend,1.20
2022-06-23,NVDA,dividend,1.20
2023-06-28,NVDA,dividend,0.80
2024-06-27,NVDA,dividend,0.40
